Quantity;Channel;Unit;Ident;ReadOut;DataType;Size;ReadFunctionCode;ReadAddress;WriteFunctionCode;WriteAddress;Factor;VariableType;VariableProfile
Energy;Total Import;kWh;ENERGY__TOTAL_IMPORT;1;UINT64;4;3;20480;0;0;0.01;2;~Electricity
Energy;L1 Import;kWh;ENERGY__L1_IMPORT;1;UINT64;4;3;21600;0;0;0.01;2;~Electricity
Energy;L2 Import;kWh;ENERGY__L2_IMPORT;1;UINT64;4;3;21604;0;0;0.01;2;~Electricity
Energy;L3 Import;kWh;ENERGY__L3_IMPORT;1;UINT64;4;3;21608;0;0;0.01;2;~Electricity
Voltage;L1-N;V;VOLTAGE__L1_N;;UINT32;2;3;23296;0;0;0.1;2;~Volt.230
Voltage;L2-N;V;VOLTAGE__L2_N;;UINT32;2;3;23298;0;0;0.1;2;~Volt.230
Voltage;L3-N;V;VOLTAGE__L3_N;;UINT32;2;3;23300;0;0;0.1;2;~Volt.230
Voltage;L1-l2;V;VOLTAGE__L1_L2;;UINT32;2;3;23302;0;0;0.1;2;~Volt.230
Voltage;L3-l2;V;VOLTAGE__L3_L2;;UINT32;2;3;23304;0;0;0.1;2;~Volt.230
Voltage;L1-l3;V;VOLTAGE__L1_L3;;UINT32;2;3;23306;0;0;0.1;2;~Volt.230
Current;L1;A;CURRENT__L1;;UINT32;2;3;23308;0;0;0.01;2;~Ampere
Current;L2;A;CURRENT__L2;;UINT32;2;3;23310;0;0;0.01;2;~Ampere
Current;L3;A;CURRENT__L3;;UINT32;2;3;23312;0;0;0.01;2;~Ampere
Power;Total;W;POWER__TOTAL;1;INT32;2;3;23316;0;0;0.01;2;~Watt.14490
Power;L1;W;POWER__L1;1;INT32;2;3;23318;0;0;0.01;2;~Watt.14490
Power;L2;W;POWER__L2;1;INT32;2;3;23320;0;0;0.01;2;~Watt.14490
Power;L3;W;POWER__L3;1;INT32;2;3;23322;0;0;0.01;2;~Watt.14490
Frequency;Total;Hz;FREQUENCY__TOTAL;1;UINT16;1;3;23340;0;0;0.01;2;~Hertz.50
Power Factor;Total;;POWER_FACTOR__TOTAL;;INT16;1;3;23354;0;0;0.001;2;
IO;Output 1;;IO__OUTPUT_1;;UINT16;1;3;25344;6;6300;0;1;
